"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Apr-2025","EQ","413.00","419.05","411.25","412.55","416.15","416.30","416.41","471.50","390.15","2,17,85,572","9,07,16,50,104.35","2,42,191"
"08-Apr-2025","EQ","411.90","415.80","407.25","406.05","413.50","412.55","411.57","471.50","390.15","1,86,00,796","7,65,54,92,505.50","2,34,584"
"07-Apr-2025","EQ","390.15","408.10","390.15","409.70","406.75","406.05","403.02","471.50","390.15","2,67,62,866","10,78,58,70,136.45","3,07,280"
"04-Apr-2025","EQ","407.50","412.80","404.50","409.40","409.30","409.70","409.44","471.50","391.20","1,86,27,592","7,62,67,98,175.75","1,49,408"
"03-Apr-2025","EQ","407.05","410.20","406.70","409.05","409.00","409.40","408.93","471.50","391.20","70,59,566","2,88,68,81,314.85","78,934"
"02-Apr-2025","EQ","407.05","410.00","406.05","406.65","408.70","409.05","408.65","471.50","391.20","80,01,323","3,26,97,11,918.80","72,562"
"01-Apr-2025","EQ","409.80","414.40","405.60","409.75","406.60","406.65","409.28","471.50","391.20","1,52,06,240","6,22,36,51,577.60","1,27,499"
"28-Mar-2025","EQ","410.90","415.60","408.15","409.45","410.25","409.75","410.91","471.50","391.20","1,29,81,873","5,33,44,43,057.90","1,14,689"
"27-Mar-2025","EQ","408.00","410.70","405.65","407.35","409.35","409.45","409.35","471.50","391.20","1,86,42,328","7,63,12,35,472.20","1,53,590"
"26-Mar-2025","EQ","410.30","411.20","406.25","409.80","407.40","407.35","409.03","471.50","391.20","1,38,91,436","5,68,19,50,426.05","1,03,317"
"25-Mar-2025","EQ","412.00","415.25","408.70","410.90","409.20","409.80","411.17","471.50","391.20","2,03,38,110","8,36,24,11,027.50","1,38,414"
"24-Mar-2025","EQ","407.00","412.85","405.60","405.55","411.00","410.90","409.64","471.50","391.20","1,43,62,572","5,88,35,05,695.50","1,38,703"
"21-Mar-2025","EQ","405.95","407.50","401.70","403.95","406.50","405.55","404.10","471.50","391.20","2,53,02,035","10,22,46,18,507.85","1,30,427"
"20-Mar-2025","EQ","405.00","406.65","401.90","403.05","403.60","403.95","403.50","471.50","391.20","1,69,94,037","6,85,71,53,651.65","1,25,979"
"19-Mar-2025","EQ","410.00","410.75","402.60","409.10","403.40","403.05","404.51","471.50","391.20","1,28,30,387","5,18,99,84,214.60","1,35,494"
"18-Mar-2025","EQ","410.00","411.95","407.75","407.95","409.50","409.10","409.50","471.50","391.20","1,38,61,897","5,67,65,00,784.85","1,06,364"
"17-Mar-2025","EQ","413.00","416.25","407.00","412.05","407.80","407.95","409.81","471.50","391.20","52,57,859","2,15,47,06,809.40","87,899"
"13-Mar-2025","EQ","413.00","414.40","408.20","412.40","411.45","412.05","412.40","471.50","391.20","81,96,569","3,38,02,86,305.70","1,22,083"
"12-Mar-2025","EQ","406.40","413.30","404.00","406.20","412.55","412.40","409.75","471.50","391.20","1,38,44,306","5,67,27,66,834.60","99,237"
"11-Mar-2025","EQ","401.50","408.40","401.20","405.00","406.20","406.20","406.58","471.50","391.20","1,10,99,475","4,51,27,93,431.70","1,16,862"
"10-Mar-2025","EQ","401.05","406.85","400.40","403.90","404.80","405.00","404.70","471.50","391.20","97,85,018","3,96,00,32,837.25","1,14,078"
"07-Mar-2025","EQ","403.55","405.85","401.70","405.70","403.75","403.90","403.66","471.50","391.20","1,11,80,761","4,51,31,90,673.15","1,29,975"
"06-Mar-2025","EQ","409.15","409.70","400.55","405.05","406.20","405.70","403.66","471.50","391.20","1,78,69,996","7,21,34,83,492.20","1,70,718"
"05-Mar-2025","EQ","394.50","412.75","394.50","394.85","409.20","405.05","399.82","471.50","391.20","1,56,65,018","6,26,31,65,318.05","1,69,098"
"04-Mar-2025","EQ","395.40","397.20","392.85","397.45","394.45","394.85","394.38","471.50","391.20","1,34,04,774","5,28,65,94,132.80","1,54,199"
"03-Mar-2025","EQ","395.95","399.00","391.20","395.00","397.00","397.45","396.98","471.50","391.20","1,07,02,826","4,24,87,73,535.65","1,69,634"
"28-Feb-2025","EQ","399.00","402.50","392.20","401.60","395.90","395.00","394.79","471.50","392.20","3,19,54,776","12,61,54,32,840.90","2,44,503"
"27-Feb-2025","EQ","404.85","406.50","399.50","404.85","401.50","401.60","401.75","471.50","396.20","1,90,51,003","7,65,36,97,871.25","1,63,369"
"25-Feb-2025","EQ","402.00","407.00","400.50","401.90","404.00","404.85","404.11","471.50","396.20","1,57,60,891","6,36,90,71,142.95","1,38,641"
"24-Feb-2025","EQ","400.00","403.40","398.75","400.90","402.00","401.90","401.96","471.50","396.20","70,37,625","2,82,88,32,996.75","1,21,155"
"21-Feb-2025","EQ","402.05","403.25","399.20","402.05","400.70","400.90","400.75","471.50","396.20","82,40,986","3,30,25,44,309.75","1,75,217"
"20-Feb-2025","EQ","399.95","403.90","396.20","406.40","402.00","402.05","401.31","471.50","396.20","1,53,55,585","6,16,23,79,397.35","2,26,856"
"19-Feb-2025","EQ","404.80","408.80","404.50","405.25","406.20","406.40","406.89","471.50","404.00","70,79,032","2,88,04,11,815.90","88,693"
"18-Feb-2025","EQ","408.00","410.85","404.00","408.60","404.90","405.25","406.53","471.50","404.00","1,29,98,403","5,28,42,37,636.80","2,08,753"
"17-Feb-2025","EQ","409.80","411.40","406.75","410.25","408.60","408.60","408.96","471.50","406.75","1,19,75,265","4,89,74,17,889.10","2,85,419"
"14-Feb-2025","EQ","411.75","416.20","408.40","409.70","410.00","410.25","411.41","471.50","407.60","1,41,24,236","5,81,08,70,731.00","1,99,616"
"13-Feb-2025","EQ","409.95","413.95","409.00","409.90","410.00","409.70","411.14","471.50","407.60","1,29,89,029","5,34,03,10,573.90","1,85,598"
"12-Feb-2025","EQ","413.15","413.80","407.60","418.30","411.20","409.90","410.36","471.50","407.60","1,38,84,574","5,69,76,74,234.65","2,07,478"
